street,from,to,distance_km,travel_time_min,congestion_level
Rua dos Lirios,Intersection_30,Intersection_70,3.02,4.8,0.82
Rua das Laranjeiras,Intersection_3,Intersection_45,0.68,4.82,0.56
Rua das Rosas,Intersection_113,Intersection_108,4.53,3.53,0.15
Rua da Montanha,Intersection_14,Intersection_6,1.82,23.3,0.23
Rua das Flores,Intersection_23,Intersection_50,2.78,27.65,0.73
Rua das Violetas,Intersection_156,Intersection_105,2.18,12.93,0.17
Rua das Laranjeiras,Intersection_151,Intersection_77,4.14,20.16,0.36
Rua dos Girassois,Intersection_145,Intersection_64,3.81,20.01,0.68
Rua das Oliveiras,Intersection_47,Intersection_23,2.02,15.57,0.84
Rua das Acacias,Intersection_75,Intersection_108,4.33,24.42,0.17
Rua das Flores,Intersection_0,Intersection_94,4.58,4.9,0.5
Rua da Colina,Intersection_86,Intersection_46,3.17,28.86,0.59
Rua dos Cravos,Intersection_62,Intersection_113,0.84,16.63,0.39
Rua dos Cravos,Intersection_38,Intersection_21,3.27,13.11,0.74
Rua das Laranjeiras,Intersection_5,Intersection_111,2.49,16.48,0.35
Rua do Campo,Intersection_157,Intersection_19,1.51,5.11,0.2
Rua da Colina,Intersection_95,Intersection_32,1.47,18.73,0.56
Rua das Aguas,Intersection_124,Intersection_123,2.73,17.89,0.64
Rua dos Passaros,Intersection_115,Intersection_18,2.72,12.53,0.17
Rua dos Ipes,Intersection_136,Intersection_85,4.07,11.17,0.35
Rua das Violetas,Intersection_95,Intersection_32,0.57,21.65,0.91
Rua da Aurora,Intersection_28,Intersection_46,3.97,6.42,0.77
Rua dos Cedros,Intersection_72,Intersection_84,4.63,10.88,0.39
Rua dos Cedros,Intersection_93,Intersection_97,2.54,10.09,0.7
Rua dos Cedros,Intersection_94,Intersection_49,1.95,6.82,0.56
Rua das Nuvens,Intersection_25,Intersection_134,2.71,25.54,0.66
Rua das Palmeiras,Intersection_21,Intersection_42,1.2,2.77,0.86
Rua dos Lirios,Intersection_91,Intersection_106,2.36,5.27,0.84
Rua dos Cedros,Intersection_95,Intersection_29,2.11,26.79,0.39
Rua das Violetas,Intersection_25,Intersection_143,0.62,20.63,0.9
Rua da Aurora,Intersection_26,Intersection_123,3.64,29.7,0.47
Rua dos Lirios,Intersection_36,Intersection_34,3.11,12.94,0.24
Rua da Colina,Intersection_131,Intersection_153,3.63,1.79,0.7
Rua da Montanha,Intersection_50,Intersection_42,3.28,22.11,0.53
Rua do Sol,Intersection_127,Intersection_52,3.59,15.05,0.76
Rua das Flores,Intersection_91,Intersection_30,4.57,23.96,0.87
Rua das Flores,Intersection_115,Intersection_140,2.02,17.45,0.89
Rua das Oliveiras,Intersection_60,Intersection_58,3.97,11.09,0.71
Rua dos Cravos,Intersection_40,Intersection_66,4.93,17.96,0.57
Rua da Aurora,Intersection_153,Intersection_90,3.79,2.89,0.64
Rua da Aurora,Intersection_157,Intersection_51,3.91,4.78,0.95
Rua dos Ipes,Intersection_88,Intersection_142,1.86,14.0,0.86
Rua das Oliveiras,Intersection_18,Intersection_130,0.68,8.27,0.97
Rua dos Passaros,Intersection_9,Intersection_36,2.79,1.21,0.32
Rua das Margaridas,Intersection_149,Intersection_130,1.71,5.41,0.29
Rua dos Jacarandas,Intersection_45,Intersection_34,2.64,5.24,0.8
Rua da Colina,Intersection_80,Intersection_77,4.83,29.46,0.91
Rua das Flores,Intersection_34,Intersection_90,1.57,6.25,0.67
Rua do Sol,Intersection_142,Intersection_36,4.77,28.98,0.97
Rua das Margaridas,Intersection_60,Intersection_27,4.84,16.6,0.28
Rua das Oliveiras,Intersection_59,Intersection_65,1.4,15.56,0.69
Rua das Orquideas,Intersection_122,Intersection_145,4.76,21.79,0.23
Rua das Aguas,Intersection_120,Intersection_49,1.84,14.42,0.9
Rua das Violetas,Intersection_117,Intersection_109,2.16,27.04,0.89
Rua da Lua,Intersection_59,Intersection_114,1.43,3.61,0.2
Rua das Orquideas,Intersection_55,Intersection_157,3.2,4.56,0.48
Rua das Rosas,Intersection_76,Intersection_71,1.43,18.42,0.84
Rua do Campo,Intersection_57,Intersection_118,4.76,15.21,0.25
Rua da Colina,Intersection_19,Intersection_104,0.59,19.0,0.84
Rua das Laranjeiras,Intersection_78,Intersection_64,4.5,10.17,0.31
Rua das Acacias,Intersection_90,Intersection_62,4.76,25.28,0.43
Rua das Nuvens,Intersection_81,Intersection_98,0.64,22.86,0.95
Rua das Rosas,Intersection_28,Intersection_67,4.32,16.99,0.53
Rua das Violetas,Intersection_23,Intersection_71,0.75,12.34,0.32
Rua da Lua,Intersection_127,Intersection_94,1.82,11.85,0.49
Rua da Aurora,Intersection_114,Intersection_75,1.84,3.06,0.35
Rua das Aguas,Intersection_153,Intersection_145,4.73,1.36,0.67
Rua das Oliveiras,Intersection_56,Intersection_151,2.09,5.12,0.19
Rua da Lua,Intersection_17,Intersection_145,3.29,16.7,0.84
Rua da Cascata,Intersection_75,Intersection_103,4.95,22.55,0.87
Rua das Violetas,Intersection_95,Intersection_129,2.58,7.11,0.33
Rua do Campo,Intersection_21,Intersection_114,2.15,26.01,0.9
Rua das Margaridas,Intersection_127,Intersection_76,4.11,22.88,0.87
Rua dos Ipes,Intersection_135,Intersection_78,2.84,18.89,0.28
Rua da Cascata,Intersection_82,Intersection_31,2.04,20.36,0.91
Rua dos Ipes,Intersection_99,Intersection_18,4.5,24.61,0.3
Rua da Colina,Intersection_61,Intersection_146,2.19,27.0,0.15
Rua das Orquideas,Intersection_135,Intersection_81,0.92,20.59,0.29
Rua da Cascata,Intersection_85,Intersection_73,3.99,26.48,0.75
Rua dos Lirios,Intersection_20,Intersection_73,0.77,2.76,0.57
Rua das Nuvens,Intersection_131,Intersection_146,2.79,14.13,0.22
Rua das Palmeiras,Intersection_105,Intersection_112,1.86,15.61,0.74
Rua das Flores,Intersection_107,Intersection_145,0.63,29.29,0.87
Rua das Aguas,Intersection_118,Intersection_47,2.58,16.27,0.64
Rua das Rosas,Intersection_53,Intersection_133,2.2,28.18,0.52
Rua dos Cravos,Intersection_58,Intersection_73,4.86,25.22,0.42
Rua da Lua,Intersection_62,Intersection_122,4.1,28.5,0.87
Rua das Oliveiras,Intersection_19,Intersection_50,1.4,1.58,0.72
Rua das Palmeiras,Intersection_91,Intersection_157,3.29,9.41,0.87
Rua dos Girassois,Intersection_23,Intersection_157,1.4,7.55,0.71
Rua do Sol,Intersection_30,Intersection_151,0.61,24.84,0.37
Rua da Aurora,Intersection_20,Intersection_14,3.53,23.51,0.43
Rua da Lua,Intersection_29,Intersection_3,3.13,16.48,0.16
Rua das Laranjeiras,Intersection_146,Intersection_143,3.04,12.88,0.13
Rua dos Cravos,Intersection_37,Intersection_141,3.66,16.12,0.86
Rua dos Jacarandas,Intersection_144,Intersection_93,3.51,23.4,0.8
Rua da Colina,Intersection_104,Intersection_34,1.31,15.52,0.16
Rua do Sol,Intersection_95,Intersection_103,4.09,28.88,0.94
Rua das Acacias,Intersection_15,Intersection_13,1.29,13.83,0.86
Rua do Campo,Intersection_69,Intersection_47,0.64,8.16,0.79
Rua das Acacias,Intersection_68,Intersection_12,1.27,3.74,0.18
Rua da Cascata,Intersection_128,Intersection_75,1.16,28.45,0.39
Rua dos Girassois,Intersection_51,Intersection_123,0.54,17.67,0.54
Rua das Flores,Intersection_89,Intersection_69,2.91,4.35,0.59
Rua dos Lirios,Intersection_60,Intersection_95,1.03,16.68,0.95
Rua da Montanha,Intersection_10,Intersection_135,1.34,29.31,0.57
Rua das Laranjeiras,Intersection_84,Intersection_3,4.81,6.69,0.92
Rua dos Lirios,Intersection_16,Intersection_141,0.63,17.37,0.84
Rua das Aguas,Intersection_102,Intersection_118,2.27,16.11,0.66
Rua dos Jacarandas,Intersection_117,Intersection_89,2.8,12.32,0.18
Rua das Laranjeiras,Intersection_115,Intersection_144,2.74,2.74,0.15
Rua das Flores,Intersection_155,Intersection_99,2.2,14.19,0.62
Rua das Oliveiras,Intersection_121,Intersection_76,2.62,16.56,0.32
Rua das Palmeiras,Intersection_121,Intersection_21,3.82,19.28,0.64
Rua das Laranjeiras,Intersection_60,Intersection_23,2.15,9.0,0.64
Rua do Campo,Intersection_51,Intersection_13,2.54,25.11,0.62
Rua das Oliveiras,Intersection_56,Intersection_125,4.13,10.38,0.15
Rua dos Pinheiros,Intersection_119,Intersection_49,2.16,11.31,0.27
Rua do Sol,Intersection_56,Intersection_127,4.37,12.12,0.86
Rua das Orquideas,Intersection_149,Intersection_119,3.72,7.33,0.26
Rua da Colina,Intersection_129,Intersection_48,3.55,21.88,0.72
Rua dos Pinheiros,Intersection_70,Intersection_51,2.8,4.76,0.94
Rua das Rosas,Intersection_78,Intersection_154,2.61,6.44,0.83
Rua da Cascata,Intersection_84,Intersection_90,3.05,8.92,0.38
Rua dos Girassois,Intersection_155,Intersection_20,1.59,9.96,0.13
Rua dos Pinheiros,Intersection_72,Intersection_89,2.81,18.12,0.67
Rua dos Girassois,Intersection_71,Intersection_67,4.34,22.72,0.34
Rua da Aurora,Intersection_23,Intersection_87,3.29,19.81,0.58
Rua das Rosas,Intersection_87,Intersection_32,0.91,22.86,0.85
Rua dos Passaros,Intersection_86,Intersection_108,4.19,18.16,0.17
Rua dos Passaros,Intersection_92,Intersection_42,1.01,21.78,0.12
Rua do Campo,Intersection_41,Intersection_102,4.57,17.15,0.18
Rua dos Ipes,Intersection_13,Intersection_5,1.57,27.77,0.38
Rua do Sol,Intersection_103,Intersection_113,2.99,17.05,0.38
Rua das Orquideas,Intersection_136,Intersection_35,2.93,25.95,0.45
Rua da Colina,Intersection_141,Intersection_62,1.37,1.48,0.72
Rua do Campo,Intersection_23,Intersection_62,2.89,11.18,0.34
Rua da Colina,Intersection_109,Intersection_98,4.76,2.35,0.18
Rua da Cascata,Intersection_33,Intersection_135,3.79,10.72,0.12
Rua dos Ipes,Intersection_154,Intersection_80,4.76,18.64,0.15
Rua dos Cravos,Intersection_63,Intersection_77,2.85,22.5,0.53
Rua das Oliveiras,Intersection_102,Intersection_85,3.19,12.76,0.24
Rua das Rosas,Intersection_6,Intersection_73,3.38,11.45,0.75
Rua das Palmeiras,Intersection_97,Intersection_34,1.64,15.64,0.93
Rua do Sol,Intersection_45,Intersection_89,3.0,7.26,0.45
Rua do Campo,Intersection_41,Intersection_23,3.21,1.85,0.63
Rua das Violetas,Intersection_126,Intersection_134,1.85,24.67,0.75
Rua das Aguas,Intersection_40,Intersection_135,2.09,12.65,0.27
Rua das Nuvens,Intersection_59,Intersection_6,0.85,5.08,0.16
Rua da Aurora,Intersection_43,Intersection_133,4.46,3.0,0.63
Rua dos Cedros,Intersection_49,Intersection_88,2.03,11.2,0.32
Rua das Laranjeiras,Intersection_100,Intersection_79,3.76,15.72,0.53
Rua das Laranjeiras,Intersection_70,Intersection_122,3.46,10.8,0.25
Rua dos Jacarandas,Intersection_89,Intersection_25,4.09,5.04,0.62
Rua da Montanha,Intersection_14,Intersection_68,2.69,28.82,0.24
Rua dos Cedros,Intersection_25,Intersection_76,1.31,10.85,0.36
Rua dos Lirios,Intersection_125,Intersection_17,2.43,2.94,0.97
Rua da Montanha,Intersection_123,Intersection_131,4.33,28.37,0.18
Rua das Violetas,Intersection_146,Intersection_17,2.44,13.72,0.77
Rua dos Cravos,Intersection_57,Intersection_59,2.32,21.8,0.45
Rua das Margaridas,Intersection_8,Intersection_79,4.82,16.49,0.52
Rua dos Passaros,Intersection_91,Intersection_1,4.47,14.52,0.58
Rua dos Passaros,Intersection_121,Intersection_14,4.77,21.54,0.65
Rua das Violetas,Intersection_112,Intersection_5,1.65,14.16,0.1
Rua da Lua,Intersection_26,Intersection_112,3.7,28.81,0.95
Rua dos Cravos,Intersection_144,Intersection_74,1.85,15.26,0.93
Rua das Palmeiras,Intersection_87,Intersection_14,2.97,4.06,0.25
Rua das Rosas,Intersection_62,Intersection_26,1.12,23.88,0.27
Rua dos Girassois,Intersection_29,Intersection_49,1.83,29.07,0.66
Rua das Palmeiras,Intersection_88,Intersection_8,1.44,6.82,0.27
Rua do Campo,Intersection_12,Intersection_107,1.2,29.22,0.26
Rua das Orquideas,Intersection_156,Intersection_138,3.73,5.0,0.97
Rua das Palmeiras,Intersection_90,Intersection_125,1.73,3.82,0.61
Rua dos Ipes,Intersection_145,Intersection_21,4.35,27.57,0.62
Rua do Sol,Intersection_92,Intersection_79,1.66,3.33,0.25
Rua das Palmeiras,Intersection_96,Intersection_38,3.65,24.56,0.64
Rua dos Lirios,Intersection_4,Intersection_53,4.08,11.07,0.84
Rua das Palmeiras,Intersection_41,Intersection_109,1.02,8.17,0.54
Rua das Nuvens,Intersection_65,Intersection_22,0.67,1.38,0.77
Rua dos Cravos,Intersection_37,Intersection_36,2.2,22.29,0.94
Rua do Sol,Intersection_95,Intersection_132,4.83,26.37,0.73
Rua das Violetas,Intersection_118,Intersection_85,0.55,15.73,0.94
Rua das Nuvens,Intersection_63,Intersection_30,2.82,4.76,0.96
Rua da Cascata,Intersection_118,Intersection_47,1.73,29.37,0.32
Rua da Colina,Intersection_73,Intersection_113,0.75,29.89,0.71
Rua das Violetas,Intersection_105,Intersection_114,4.81,16.37,0.16
Rua das Aguas,Intersection_14,Intersection_65,3.6,5.86,0.87
Rua dos Girassois,Intersection_152,Intersection_130,1.44,7.12,0.84
Rua do Sol,Intersection_63,Intersection_25,3.75,7.55,0.67
Rua da Montanha,Intersection_34,Intersection_148,4.51,1.84,0.37
Rua dos Pinheiros,Intersection_124,Intersection_109,3.22,12.75,0.87
Rua dos Ipes,Intersection_157,Intersection_122,3.55,8.21,0.78
Rua dos Passaros,Intersection_71,Intersection_106,1.67,16.39,0.55
Rua das Oliveiras,Intersection_126,Intersection_90,0.7,1.01,0.78
Rua das Orquideas,Intersection_114,Intersection_143,1.4,2.44,0.75
Rua das Palmeiras,Intersection_100,Intersection_108,0.74,14.69,0.86
Rua das Palmeiras,Intersection_59,Intersection_81,1.81,14.06,0.15
Rua das Rosas,Intersection_146,Intersection_41,0.72,26.03,0.87
Rua dos Ipes,Intersection_129,Intersection_75,4.15,27.32,0.31
Rua das Oliveiras,Intersection_70,Intersection_51,3.84,9.13,0.76
Rua dos Pinheiros,Intersection_46,Intersection_80,0.55,24.57,0.26
Rua das Acacias,Intersection_82,Intersection_27,4.03,20.38,0.83
Rua das Flores,Intersection_32,Intersection_55,4.68,28.89,0.29
Rua das Oliveiras,Intersection_142,Intersection_110,4.04,20.75,0.42
Rua da Cascata,Intersection_4,Intersection_98,3.63,24.9,0.95
Rua das Rosas,Intersection_148,Intersection_117,4.18,17.49,0.8
Rua da Aurora,Intersection_67,Intersection_68,2.51,23.22,0.21
Rua da Lua,Intersection_68,Intersection_144,2.37,28.32,0.31
Rua dos Cedros,Intersection_141,Intersection_36,4.34,7.02,0.3
Rua das Rosas,Intersection_149,Intersection_142,1.04,2.34,0.63
Rua dos Cedros,Intersection_18,Intersection_57,2.79,28.5,0.64
Rua das Flores,Intersection_128,Intersection_72,2.18,11.99,0.36
Rua da Colina,Intersection_125,Intersection_59,0.51,11.11,0.47
Rua dos Lirios,Intersection_8,Intersection_14,1.95,17.63,0.15
Rua dos Passaros,Intersection_39,Intersection_50,1.09,18.79,0.53
Rua dos Passaros,Intersection_114,Intersection_131,3.74,1.56,0.46
Rua das Orquideas,Intersection_129,Intersection_0,4.74,27.11,0.26
Rua do Sol,Intersection_92,Intersection_147,2.17,4.48,0.74
Rua dos Lirios,Intersection_12,Intersection_81,3.07,3.66,0.67
Rua do Sol,Intersection_91,Intersection_45,2.44,27.05,0.73
Rua dos Pinheiros,Intersection_7,Intersection_10,0.6,20.42,0.54
Rua das Orquideas,Intersection_72,Intersection_98,4.74,6.75,0.87
Rua das Violetas,Intersection_131,Intersection_133,4.94,11.54,0.15
Rua das Nuvens,Intersection_155,Intersection_85,1.61,18.42,0.59
Rua das Acacias,Intersection_55,Intersection_70,2.68,4.7,0.22
Rua das Aguas,Intersection_73,Intersection_59,0.77,19.73,0.23
Rua do Sol,Intersection_3,Intersection_4,1.97,17.38,0.39
Rua das Acacias,Intersection_37,Intersection_132,4.39,17.5,0.9
Rua das Margaridas,Intersection_88,Intersection_62,4.43,3.11,0.79
Rua da Lua,Intersection_34,Intersection_90,1.09,2.75,0.46
Rua das Laranjeiras,Intersection_3,Intersection_77,3.15,16.96,0.56
Rua das Acacias,Intersection_113,Intersection_147,2.63,21.49,0.75
Rua dos Cedros,Intersection_157,Intersection_105,1.41,3.84,0.69
Rua das Acacias,Intersection_106,Intersection_127,2.88,16.5,0.9
Rua das Oliveiras,Intersection_102,Intersection_119,3.28,2.26,0.89
Rua das Oliveiras,Intersection_10,Intersection_89,3.3,20.41,0.41
Rua da Montanha,Intersection_112,Intersection_115,1.69,4.68,0.94
Rua do Sol,Intersection_154,Intersection_41,2.06,21.01,0.31
Rua dos Cedros,Intersection_48,Intersection_79,4.7,28.54,0.73
Rua das Acacias,Intersection_122,Intersection_83,4.32,16.34,0.73
Rua da Colina,Intersection_45,Intersection_125,3.98,2.22,0.72
Rua da Aurora,Intersection_129,Intersection_40,4.41,5.19,0.28
Rua da Montanha,Intersection_156,Intersection_118,4.15,28.6,0.36
Rua da Cascata,Intersection_146,Intersection_111,1.2,2.02,0.95
Rua dos Cedros,Intersection_31,Intersection_123,3.88,26.53,0.79
Rua das Laranjeiras,Intersection_131,Intersection_23,3.49,13.83,0.42
Rua dos Ipes,Intersection_113,Intersection_120,2.76,24.28,0.2
Rua das Violetas,Intersection_3,Intersection_142,1.21,18.57,0.47
Rua da Montanha,Intersection_8,Intersection_49,3.59,26.66,0.29
Rua da Montanha,Intersection_47,Intersection_31,4.52,9.33,0.17
Rua dos Jacarandas,Intersection_92,Intersection_15,3.83,23.4,0.55
Rua das Oliveiras,Intersection_84,Intersection_35,3.01,26.53,0.45
Rua dos Pinheiros,Intersection_155,Intersection_37,2.22,21.4,0.54
Rua das Palmeiras,Intersection_134,Intersection_125,1.33,25.19,0.32
Rua das Flores,Intersection_74,Intersection_9,4.58,4.57,0.31
Rua das Margaridas,Intersection_64,Intersection_53,4.78,14.57,0.82
Rua das Acacias,Intersection_143,Intersection_57,3.57,22.74,0.43
Rua da Montanha,Intersection_44,Intersection_99,0.72,8.62,0.82
Rua dos Cravos,Intersection_12,Intersection_132,4.24,3.43,0.16
Rua das Nuvens,Intersection_121,Intersection_44,1.28,5.52,0.19
Rua dos Ipes,Intersection_15,Intersection_99,1.69,4.54,0.15
Rua das Rosas,Intersection_103,Intersection_54,3.73,27.3,0.28
Rua das Oliveiras,Intersection_95,Intersection_24,0.91,21.8,0.76
Rua da Lua,Intersection_135,Intersection_96,1.0,13.14,0.2
Rua do Campo,Intersection_140,Intersection_29,2.97,24.82,0.69
Rua das Violetas,Intersection_85,Intersection_2,1.3,14.11,0.22
Rua das Violetas,Intersection_114,Intersection_6,1.91,25.56,0.55
Rua das Nuvens,Intersection_26,Intersection_149,1.1,28.37,0.8
Rua das Palmeiras,Intersection_41,Intersection_105,4.59,11.62,0.77
Rua dos Passaros,Intersection_127,Intersection_111,3.94,1.45,0.73
Rua das Nuvens,Intersection_148,Intersection_31,1.82,6.46,0.82
Rua das Oliveiras,Intersection_28,Intersection_152,4.4,13.16,0.37
Rua dos Ipes,Intersection_147,Intersection_103,2.1,3.45,0.41
Rua dos Passaros,Intersection_104,Intersection_15,4.47,11.86,0.33
Rua dos Cedros,Intersection_43,Intersection_5,2.59,3.72,0.44
Rua do Campo,Intersection_99,Intersection_114,1.18,21.13,0.31
Rua das Orquideas,Intersection_156,Intersection_40,2.52,3.58,0.27
Rua das Palmeiras,Intersection_117,Intersection_70,3.49,4.35,0.93
Rua das Margaridas,Intersection_44,Intersection_74,4.93,24.76,0.7
Rua da Montanha,Intersection_7,Intersection_121,1.56,3.88,0.34
Rua da Cascata,Intersection_25,Intersection_143,2.96,16.11,0.89
Rua das Palmeiras,Intersection_111,Intersection_79,2.94,17.43,0.34
Rua da Montanha,Intersection_62,Intersection_50,1.7,2.38,0.83
Rua das Aguas,Intersection_151,Intersection_23,0.8,15.75,0.59
Rua do Sol,Intersection_119,Intersection_115,4.34,3.77,0.85
Rua dos Girassois,Intersection_85,Intersection_109,2.11,22.01,0.89
Rua do Campo,Intersection_134,Intersection_157,3.29,9.17,0.43
Rua das Nuvens,Intersection_125,Intersection_105,0.94,25.01,0.74
Rua do Sol,Intersection_69,Intersection_27,0.53,6.37,0.19
Rua dos Girassois,Intersection_157,Intersection_132,2.63,28.72,0.86
Rua das Rosas,Intersection_123,Intersection_103,3.64,11.76,0.85
Rua dos Lirios,Intersection_113,Intersection_157,1.93,20.08,0.55
Rua das Orquideas,Intersection_28,Intersection_33,2.0,8.54,0.54
Rua da Aurora,Intersection_7,Intersection_56,4.34,24.24,0.66
Rua das Aguas,Intersection_139,Intersection_1,4.18,5.8,0.77
Rua das Aguas,Intersection_49,Intersection_126,1.9,12.76,0.91
Rua dos Cravos,Intersection_30,Intersection_56,3.66,24.61,0.77
Rua da Montanha,Intersection_94,Intersection_58,4.51,16.48,0.79
Rua das Margaridas,Intersection_111,Intersection_60,1.89,19.12,0.41
Rua da Cascata,Intersection_88,Intersection_32,0.67,25.22,0.69
Rua do Campo,Intersection_126,Intersection_132,2.82,8.58,0.56
Rua dos Girassois,Intersection_138,Intersection_19,2.05,29.46,0.75
Rua das Aguas,Intersection_31,Intersection_103,3.19,15.29,0.69
Rua das Nuvens,Intersection_62,Intersection_115,4.13,10.8,0.56
Rua das Rosas,Intersection_121,Intersection_145,2.03,24.93,0.81
Rua da Montanha,Intersection_31,Intersection_74,4.78,4.42,0.86
Rua das Oliveiras,Intersection_84,Intersection_145,4.61,29.25,0.23
Rua da Montanha,Intersection_116,Intersection_119,0.7,13.4,0.5
Rua das Aguas,Intersection_104,Intersection_125,2.43,7.9,0.77
Rua das Palmeiras,Intersection_139,Intersection_53,2.39,27.48,0.55
Rua da Cascata,Intersection_123,Intersection_141,4.58,9.42,0.31
Rua da Lua,Intersection_147,Intersection_23,0.81,12.82,0.96
Rua das Nuvens,Intersection_70,Intersection_74,0.94,16.62,0.13
Rua das Margaridas,Intersection_65,Intersection_155,0.72,15.46,0.91
Rua das Palmeiras,Intersection_114,Intersection_7,3.91,8.84,0.45
Rua dos Lirios,Intersection_84,Intersection_61,1.51,20.91,0.49
Rua das Margaridas,Intersection_128,Intersection_51,1.85,4.33,0.62
Rua da Lua,Intersection_155,Intersection_38,1.93,24.75,0.52
Rua das Aguas,Intersection_41,Intersection_21,3.54,18.14,0.58
Rua dos Ipes,Intersection_46,Intersection_121,4.21,1.89,0.45
Rua das Violetas,Intersection_117,Intersection_136,4.62,21.26,0.79
Rua das Violetas,Intersection_100,Intersection_39,2.54,25.43,0.49
Rua dos Cravos,Intersection_126,Intersection_34,4.37,11.55,0.38
Rua da Aurora,Intersection_0,Intersection_124,4.67,22.69,0.83
Rua dos Passaros,Intersection_81,Intersection_123,3.77,14.26,0.86
Rua dos Ipes,Intersection_156,Intersection_135,3.94,13.95,0.72
Rua dos Ipes,Intersection_139,Intersection_132,1.09,27.97,0.88
Rua das Nuvens,Intersection_58,Intersection_94,4.45,10.15,0.63
Rua da Aurora,Intersection_64,Intersection_102,4.88,6.76,0.34
Rua dos Lirios,Intersection_73,Intersection_74,4.03,10.52,0.29
Rua dos Cravos,Intersection_0,Intersection_23,1.0,14.18,0.73
Rua da Aurora,Intersection_75,Intersection_53,3.26,8.47,0.44
Rua das Violetas,Intersection_151,Intersection_70,4.32,16.23,0.27
Rua das Flores,Intersection_106,Intersection_5,0.88,2.05,0.22
Rua das Orquideas,Intersection_116,Intersection_54,4.75,24.47,0.43
Rua da Colina,Intersection_137,Intersection_153,3.52,20.49,0.63
Rua das Orquideas,Intersection_16,Intersection_0,3.78,3.43,0.38
Rua das Violetas,Intersection_73,Intersection_94,1.58,6.13,0.35
Rua da Colina,Intersection_87,Intersection_146,1.3,19.91,0.85
Rua dos Lirios,Intersection_117,Intersection_113,3.17,26.55,0.43
Rua das Nuvens,Intersection_128,Intersection_59,3.88,2.71,0.98
Rua do Campo,Intersection_32,Intersection_29,3.77,25.39,0.69
Rua dos Girassois,Intersection_88,Intersection_138,2.34,3.62,0.47
Rua da Cascata,Intersection_140,Intersection_25,3.91,21.08,0.66
Rua dos Jacarandas,Intersection_18,Intersection_153,4.99,22.18,0.79
Rua dos Girassois,Intersection_5,Intersection_87,3.48,1.79,0.56
Rua das Oliveiras,Intersection_126,Intersection_68,4.78,16.65,0.97
Rua da Cascata,Intersection_24,Intersection_155,3.76,23.19,0.44
Rua dos Cedros,Intersection_87,Intersection_97,3.68,27.69,0.52
Rua das Aguas,Intersection_10,Intersection_125,2.45,13.72,0.44
Rua dos Girassois,Intersection_109,Intersection_27,4.46,11.53,0.22
Rua das Orquideas,Intersection_109,Intersection_45,1.19,2.9,0.45
Rua dos Cravos,Intersection_79,Intersection_25,1.54,17.72,0.33
Rua das Laranjeiras,Intersection_32,Intersection_101,1.83,29.89,0.88
Rua das Margaridas,Intersection_99,Intersection_138,3.66,3.01,0.21
Rua das Acacias,Intersection_71,Intersection_153,4.07,2.48,0.88
Rua das Laranjeiras,Intersection_35,Intersection_24,2.12,10.02,1.0
Rua dos Cravos,Intersection_50,Intersection_78,2.32,18.27,0.39
Rua das Nuvens,Intersection_45,Intersection_78,2.05,2.36,0.46
Rua dos Girassois,Intersection_13,Intersection_57,0.92,22.25,0.67
Rua dos Ipes,Intersection_116,Intersection_106,4.96,14.56,0.27
Rua do Sol,Intersection_29,Intersection_82,0.6,6.32,0.94
Rua das Oliveiras,Intersection_146,Intersection_120,3.16,11.1,0.93
Rua das Rosas,Intersection_144,Intersection_115,4.62,26.65,0.65
Rua das Flores,Intersection_112,Intersection_144,0.53,26.89,0.49
Rua das Flores,Intersection_86,Intersection_33,1.93,18.4,0.83
Rua da Cascata,Intersection_130,Intersection_3,2.15,28.12,0.45
Rua da Montanha,Intersection_87,Intersection_137,3.84,20.52,0.35
Rua da Cascata,Intersection_91,Intersection_141,3.97,24.56,0.9
Rua da Cascata,Intersection_123,Intersection_122,2.74,23.56,0.68
Rua dos Lirios,Intersection_19,Intersection_24,2.85,22.4,0.17
Rua dos Passaros,Intersection_56,Intersection_26,0.65,26.33,0.79
Rua da Colina,Intersection_99,Intersection_131,3.13,15.16,0.41
Rua do Campo,Intersection_100,Intersection_37,3.54,23.72,0.57
Rua da Cascata,Intersection_26,Intersection_147,4.28,7.48,0.24
Rua das Orquideas,Intersection_146,Intersection_48,3.78,29.16,0.26
Rua das Palmeiras,Intersection_62,Intersection_94,2.19,1.26,0.11
Rua dos Cravos,Intersection_105,Intersection_125,2.08,25.92,0.57
Rua da Colina,Intersection_23,Intersection_47,2.63,29.81,0.35
Rua das Margaridas,Intersection_73,Intersection_79,4.86,29.11,0.67
Rua da Colina,Intersection_36,Intersection_58,4.98,3.53,0.49
Rua das Margaridas,Intersection_69,Intersection_14,1.02,25.06,0.3
Rua do Sol,Intersection_47,Intersection_68,1.08,21.46,0.61
Rua da Lua,Intersection_47,Intersection_90,4.8,4.58,0.89
Rua dos Girassois,Intersection_51,Intersection_130,3.61,23.4,0.68
Rua dos Ipes,Intersection_122,Intersection_36,2.97,28.05,0.42
Rua das Orquideas,Intersection_27,Intersection_130,1.42,22.42,0.26
Rua das Acacias,Intersection_85,Intersection_92,1.37,7.29,0.73
Rua das Aguas,Intersection_13,Intersection_53,3.28,28.96,0.73
Rua da Aurora,Intersection_146,Intersection_29,2.31,22.79,0.88
Rua dos Passaros,Intersection_11,Intersection_151,4.97,8.16,0.49
Rua dos Ipes,Intersection_97,Intersection_27,4.32,4.41,0.39
Rua dos Girassois,Intersection_103,Intersection_10,2.07,17.42,0.1
