Street,From,To,Distance_km,Travel_time_min,Congestion_level
Rua das Violetas,70,38,4.81,16.37,0.16
Rua das Aguas,5,59,3.6,5.86,0.87
Rua dos Girassois,34,32,1.44,7.12,0.84
Rua do Sol,101,29,3.75,7.55,0.67
Rua da Montanha,149,125,4.51,1.84,0.37
Rua dos Pinheiros,67,49,3.22,12.75,0.87
Rua dos Ipes,88,30,3.55,8.21,0.78
Rua dos Passaros,141,73,1.67,16.39,0.55
Rua das Oliveiras,19,43,0.7,1.01,0.78
Rua das Orquideas,38,97,1.4,2.44,0.75
Rua das Palmeiras,6,81,0.74,14.69,0.86
Rua das Palmeiras,129,72,1.81,14.06,0.15
Rua das Rosas,42,151,0.72,26.03,0.87
Rua dos Ipes,51,108,4.15,27.32,0.31
Rua das Oliveiras,154,0,3.84,9.13,0.76
Rua dos Pinheiros,99,14,0.55,24.57,0.26
Rua das Acacias,17,105,4.03,20.38,0.83
Rua das Flores,48,145,4.68,28.89,0.29
Rua das Oliveiras,76,98,4.04,20.75,0.42
Rua da Cascata,33,21,3.63,24.9,0.95
Rua das Rosas,125,57,4.18,17.49,0.8
Rua da Aurora,134,85,2.51,23.22,0.21
Rua da Lua,85,148,2.37,28.32,0.31
Rua dos Cedros,87,112,4.34,7.02,0.3
Rua das Rosas,152,76,1.04,2.34,0.63
Rua dos Cedros,50,71,2.79,28.5,0.64
Rua das Flores,86,127,2.18,11.99,0.36
Rua da Colina,93,129,0.51,11.11,0.47
Rua dos Lirios,66,5,1.95,17.63,0.15
Rua dos Passaros,113,111,1.09,18.79,0.53
Rua dos Passaros,38,75,3.74,1.56,0.46
Rua das Orquideas,51,22,4.74,27.11,0.26
Rua do Sol,4,83,2.17,4.48,0.74
Rua dos Lirios,15,72,3.07,3.66,0.67
Rua do Sol,104,103,2.44,27.05,0.73
Rua dos Pinheiros,60,11,0.6,20.42,0.54
Rua das Orquideas,127,21,4.74,6.75,0.87
Rua das Violetas,75,56,4.94,11.54,0.15
Rua das Nuvens,53,110,1.61,18.42,0.59
Rua das Acacias,145,154,2.68,4.7,0.22
Rua das Aguas,114,129,0.77,19.73,0.23
Rua do Sol,65,33,1.97,17.38,0.39
Rua das Acacias,68,9,4.39,17.5,0.9
Rua das Margaridas,12,121,4.43,3.11,0.79
Rua da Lua,149,43,1.09,2.75,0.46
Rua das Laranjeiras,65,55,3.15,16.96,0.56
Rua das Acacias,80,83,2.63,21.49,0.75
Rua dos Cedros,88,70,1.41,3.84,0.69
Rua das Acacias,73,136,2.88,16.5,0.9
Rua das Oliveiras,138,124,3.28,2.26,0.89
Rua das Oliveiras,11,28,3.3,20.41,0.41
Rua da Montanha,96,52,1.69,4.68,0.94
Rua do Sol,36,151,2.06,21.01,0.31
Rua dos Cedros,117,2,4.7,28.54,0.73
Rua das Acacias,30,92,4.32,16.34,0.73
Rua da Colina,103,93,3.98,2.22,0.72
Rua da Aurora,51,23,4.41,5.19,0.28
Rua da Montanha,126,64,4.15,28.6,0.36
Rua da Cascata,42,1,1.2,2.02,0.95
Rua dos Cedros,44,156,3.88,26.53,0.79
Rua das Laranjeiras,75,46,3.49,13.83,0.42
Rua dos Ipes,80,109,2.76,24.28,0.2
Rua das Violetas,65,76,1.21,18.57,0.47
Rua da Montanha,66,16,3.59,26.66,0.29
Rua da Montanha,102,44,4.52,9.33,0.17
Rua dos Jacarandas,4,47,3.83,23.4,0.55
Rua das Oliveiras,18,58,3.01,26.53,0.45
Rua dos Pinheiros,53,68,2.22,21.4,0.54
Rua das Palmeiras,35,93,1.33,25.19,0.32
Rua das Flores,20,143,4.58,4.57,0.31
Rua das Margaridas,90,69,4.78,14.57,0.82
Rua das Acacias,97,71,3.57,22.74,0.43
Rua da Montanha,74,41,0.72,8.62,0.82
Rua dos Cravos,15,9,4.24,3.43,0.16
Rua das Nuvens,120,74,1.28,5.52,0.19
Rua dos Ipes,47,41,1.69,4.54,0.15
Rua das Rosas,100,153,3.73,27.3,0.28
Rua das Oliveiras,116,91,0.91,21.8,0.76
Rua da Lua,61,119,1.0,13.14,0.2
Rua do Campo,77,131,2.97,24.82,0.69
Rua das Violetas,110,155,1.3,14.11,0.22
Rua das Violetas,38,122,1.91,25.56,0.55
Rua das Nuvens,106,152,1.1,28.37,0.8
Rua das Palmeiras,151,70,4.59,11.62,0.77
Rua dos Passaros,136,1,3.94,1.45,0.73
Rua das Nuvens,125,44,1.82,6.46,0.82
Rua das Oliveiras,82,34,4.4,13.16,0.37
Rua dos Ipes,83,100,2.1,3.45,0.41
Rua dos Passaros,107,47,4.47,11.86,0.33
Rua dos Cedros,132,157,2.59,3.72,0.44
Rua do Campo,41,38,1.18,21.13,0.31
Rua das Orquideas,126,23,2.52,3.58,0.27
Rua das Palmeiras,57,154,3.49,4.35,0.93
Rua das Margaridas,74,20,4.93,24.76,0.7
Rua da Montanha,60,120,1.56,3.88,0.34
Rua da Cascata,29,97,2.96,16.11,0.89
Rua das Palmeiras,1,2,2.94,17.43,0.34
Rua da Montanha,121,111,1.7,2.38,0.83
Rua das Aguas,123,46,0.8,15.75,0.59
Rua do Sol,124,52,4.34,3.77,0.85
Rua dos Girassois,110,49,2.11,22.01,0.89
Rua do Campo,35,88,3.29,9.17,0.43
Rua das Nuvens,93,70,0.94,25.01,0.74
Rua do Sol,89,105,0.53,6.37,0.19
Rua dos Girassois,88,9,2.63,28.72,0.86
Rua das Rosas,156,100,3.64,11.76,0.85
Rua dos Lirios,80,88,1.93,20.08,0.55
Rua das Orquideas,82,84,2.0,8.54,0.54
Rua da Aurora,60,7,4.34,24.24,0.66
Rua das Aguas,78,54,4.18,5.8,0.77
Rua das Aguas,16,19,1.9,12.76,0.91
Rua dos Cravos,3,7,3.66,24.61,0.77
Rua da Montanha,37,10,4.51,16.48,0.79
Rua das Margaridas,1,31,1.89,19.12,0.41
Rua da Cascata,12,48,0.67,25.22,0.69
Rua do Campo,19,9,2.82,8.58,0.56
Rua dos Girassois,79,142,2.05,29.46,0.75
Rua das Aguas,44,100,3.19,15.29,0.69
Rua das Nuvens,121,52,4.13,10.8,0.56
Rua das Rosas,120,26,2.03,24.93,0.81
Rua da Montanha,44,20,4.78,4.42,0.86
Rua das Oliveiras,18,26,4.61,29.25,0.23
Rua da Montanha,146,124,0.7,13.4,0.5
Rua das Aguas,107,93,2.43,7.9,0.77
Rua das Palmeiras,78,69,2.39,27.48,0.55
Rua da Cascata,156,87,4.58,9.42,0.31
Rua da Lua,83,46,0.81,12.82,0.96
Rua das Nuvens,154,20,0.94,16.62,0.13
Rua das Margaridas,59,53,0.72,15.46,0.91
Rua das Palmeiras,38,60,3.91,8.84,0.45
Rua dos Lirios,18,63,1.51,20.91,0.49
Rua das Margaridas,86,0,1.85,4.33,0.62
Rua da Lua,53,144,1.93,24.75,0.52
Rua das Aguas,151,13,3.54,18.14,0.58
Rua dos Ipes,99,120,4.21,1.89,0.45
Rua das Violetas,57,139,4.62,21.26,0.79
Rua das Violetas,6,113,2.54,25.43,0.49
Rua dos Cravos,19,149,4.37,11.55,0.38
Rua da Aurora,22,67,4.67,22.69,0.83
Rua dos Passaros,72,156,3.77,14.26,0.86
Rua dos Ipes,126,61,3.94,13.95,0.72
Rua dos Ipes,78,9,1.09,27.97,0.88
Rua das Nuvens,10,37,4.45,10.15,0.63
Rua da Aurora,90,138,4.88,6.76,0.34
Rua dos Lirios,114,20,4.03,10.52,0.29
Rua dos Cravos,22,46,1.0,14.18,0.73
Rua da Aurora,108,69,3.26,8.47,0.44
Rua das Violetas,123,154,4.32,16.23,0.27
Rua das Flores,73,157,0.88,2.05,0.22
Rua das Orquideas,146,153,4.75,24.47,0.43
Rua da Colina,133,25,3.52,20.49,0.63
Rua das Orquideas,115,22,3.78,3.43,0.38
Rua das Violetas,114,37,1.58,6.13,0.35
Rua da Colina,118,42,1.3,19.91,0.85
Rua dos Lirios,57,80,3.17,26.55,0.43
Rua das Nuvens,86,129,3.88,2.71,0.98
Rua do Campo,48,131,3.77,25.39,0.69
Rua dos Girassois,12,79,2.34,3.62,0.47
Rua da Cascata,77,29,3.91,21.08,0.66
Rua dos Jacarandas,50,25,4.99,22.18,0.79
Rua dos Girassois,157,118,3.48,1.79,0.56
Rua das Oliveiras,19,85,4.78,16.65,0.97
Rua da Cascata,91,53,3.76,23.19,0.44
Rua dos Cedros,118,147,3.68,27.69,0.52
Rua das Aguas,11,93,2.45,13.72,0.44
Rua dos Girassois,49,105,4.46,11.53,0.22
Rua das Orquideas,49,103,1.19,2.9,0.45
Rua dos Cravos,2,29,1.54,17.72,0.33
Rua das Laranjeiras,48,95,1.83,29.89,0.88
Rua das Margaridas,41,79,3.66,3.01,0.21
Rua das Acacias,141,25,4.07,2.48,0.88
Rua das Laranjeiras,58,91,2.12,10.02,1.0
Rua dos Cravos,111,40,2.32,18.27,0.39
Rua das Nuvens,103,40,2.05,2.36,0.46
Rua dos Girassois,140,71,0.92,22.25,0.67
Rua dos Ipes,146,73,4.96,14.56,0.27
Rua do Sol,131,17,0.6,6.32,0.94
Rua das Oliveiras,42,109,3.16,11.1,0.93
Rua das Rosas,148,52,4.62,26.65,0.65
Rua das Flores,96,148,0.53,26.89,0.49
Rua das Flores,24,84,1.93,18.4,0.83
Rua da Cascata,32,65,2.15,28.12,0.45
Rua da Montanha,118,133,3.84,20.52,0.35
Rua da Cascata,104,87,3.97,24.56,0.9
Rua da Cascata,156,30,2.74,23.56,0.68
Rua dos Lirios,142,91,2.85,22.4,0.17
Rua dos Passaros,7,106,0.65,26.33,0.79
Rua da Colina,41,75,3.13,15.16,0.41
Rua do Campo,6,68,3.54,23.72,0.57
Rua da Cascata,106,83,4.28,7.48,0.24
Rua das Orquideas,42,117,3.78,29.16,0.26
Rua das Palmeiras,121,37,2.19,1.26,0.11
Rua dos Cravos,70,93,2.08,25.92,0.57
Rua da Colina,46,102,2.63,29.81,0.35
Rua das Margaridas,114,2,4.86,29.11,0.67
Rua da Colina,112,10,4.98,3.53,0.49
Rua das Margaridas,89,5,1.02,25.06,0.3
Rua do Sol,102,85,1.08,21.46,0.61
Rua da Lua,102,43,4.8,4.58,0.89
Rua dos Girassois,0,32,3.61,23.4,0.68
Rua dos Ipes,30,112,2.97,28.05,0.42
Rua das Orquideas,105,32,1.42,22.42,0.26
Rua das Acacias,110,4,1.37,7.29,0.73
Rua das Aguas,140,69,3.28,28.96,0.73
Rua da Aurora,42,131,2.31,22.79,0.88
Rua dos Passaros,8,123,4.97,8.16,0.49
Rua dos Ipes,147,105,4.32,4.41,0.39
Rua dos Girassois,100,11,2.07,17.42,0.1
Rua do Campo,89,38,4.04,19.51,0.58
Rua das Laranjeiras,79,0,2.85,9.65,0.48
Rua da Lua,87,50,2.94,23.44,0.46
Rua da Colina,92,51,2.12,28.46,0.14
Rua das Rosas,73,51,2.69,6.0,0.56
Rua do Sol,97,94,3.13,13.13,0.17
Rua dos Ipes,16,84,0.65,29.32,0.73
Rua da Lua,111,29,3.29,2.42,0.19
Rua do Campo,44,144,2.96,9.8,0.68
Rua dos Cedros,133,155,2.18,13.15,0.96
Rua das Orquideas,104,102,1.54,24.15,0.62
Rua dos Lirios,26,155,4.33,13.81,0.97
Rua dos Passaros,0,48,2.59,8.98,0.69
Rua dos Jacarandas,10,37,4.77,14.53,0.12
Rua dos Cedros,9,29,1.5,11.65,0.42
Rua da Cascata,2,32,3.97,23.88,0.74
Rua dos Pinheiros,22,4,1.82,29.73,0.18
Rua das Palmeiras,138,134,2.99,17.89,0.75
Rua das Violetas,145,103,1.49,25.48,0.17
Rua dos Girassois,32,152,1.54,22.63,0.52
Rua das Nuvens,86,119,3.66,14.1,0.61
Rua da Aurora,141,52,2.12,10.63,0.81
Rua dos Passaros,52,79,0.65,23.35,0.24
Rua da Montanha,65,137,4.32,17.89,0.52
Rua da Lua,58,102,1.84,17.46,0.19
Rua dos Pinheiros,148,121,3.22,11.93,1.0
Rua das Laranjeiras,59,126,3.53,9.4,0.85
Rua dos Ipes,65,89,4.21,14.31,0.99
Rua das Oliveiras,61,22,3.79,23.98,0.91
Rua da Lua,28,32,1.55,20.21,0.9
Rua dos Cravos,5,79,4.46,12.96,0.79
Rua das Acacias,42,49,0.93,23.89,0.82
Rua das Palmeiras,23,55,4.21,19.47,0.96
Rua das Acacias,67,66,2.39,4.65,0.64
Rua das Laranjeiras,69,47,2.56,2.31,0.82
Rua da Cascata,12,11,3.17,4.29,0.7
Rua das Orquideas,104,116,3.94,22.92,0.31
Rua das Flores,74,35,2.44,16.11,0.5
Rua dos Girassois,144,80,3.23,12.66,0.52
Rua das Aguas,101,13,3.77,16.16,0.54
Rua da Cascata,53,141,3.66,6.54,0.89
Rua do Sol,29,115,2.26,7.75,0.95
Rua dos Lirios,1,89,4.97,14.19,0.14
Rua dos Lirios,154,0,2.52,15.39,0.51
Rua dos Cravos,43,40,0.76,7.57,0.29
Rua das Oliveiras,28,119,2.03,13.85,0.79
Rua das Orquideas,5,102,3.66,12.2,0.11
Rua das Nuvens,118,98,0.81,7.58,0.49
Rua das Margaridas,117,149,3.9,12.66,0.22
Rua das Palmeiras,96,28,3.48,11.06,0.73
Rua do Campo,10,110,3.3,28.67,0.51
Rua da Montanha,87,136,2.4,20.21,0.21
Rua das Flores,97,131,0.65,9.32,0.93
Rua das Violetas,118,89,4.54,29.27,0.45
Rua dos Passaros,55,125,4.0,12.78,0.74
Rua dos Passaros,113,86,1.11,4.77,0.29
Rua do Campo,51,60,3.13,7.32,0.87
Rua da Aurora,127,125,2.4,9.39,0.74
Rua dos Passaros,57,50,3.3,21.47,0.27
Rua das Nuvens,16,10,1.35,22.36,0.58
Rua da Aurora,90,115,4.48,15.2,0.97
Rua da Aurora,84,151,1.95,8.31,0.35
Rua das Margaridas,143,48,2.63,7.43,0.19
Rua das Aguas,96,119,1.69,8.5,0.86
Rua da Lua,92,70,2.76,27.29,0.34
Rua dos Lirios,124,8,1.23,8.51,0.25
Rua das Aguas,143,136,1.66,18.74,0.51
Rua da Cascata,108,75,2.95,9.93,0.48
Rua das Flores,7,48,1.88,10.6,0.8
Rua do Sol,65,0,3.46,27.63,0.41
Rua dos Ipes,145,102,3.4,28.48,0.61
Rua da Cascata,40,49,3.97,26.49,0.83
Rua das Orquideas,126,156,3.27,28.01,0.6
Rua das Flores,46,49,2.36,1.12,0.16
Rua das Nuvens,149,116,3.52,4.76,0.85
Rua dos Cedros,46,123,0.99,26.16,0.95
Rua das Rosas,67,4,0.6,23.26,0.82
Rua da Cascata,71,150,4.34,1.4,0.65
Rua da Lua,74,125,1.75,12.08,0.87
Rua das Oliveiras,121,92,2.94,8.98,0.78
Rua dos Ipes,80,119,0.78,14.86,0.78
Rua das Rosas,122,155,2.99,15.52,0.25
Rua da Lua,156,60,2.77,22.29,0.41
Rua da Aurora,46,52,2.87,5.52,0.13
Rua das Flores,108,106,1.78,25.57,0.11
Rua da Cascata,55,9,4.07,9.8,0.2
Rua da Lua,43,14,3.84,11.77,0.67
Rua da Lua,75,132,0.78,6.0,0.85
Rua das Acacias,64,69,4.69,17.03,0.21
Rua dos Ipes,3,94,2.11,2.51,0.51
Rua das Acacias,6,28,1.71,9.81,0.83
Rua das Orquideas,104,130,1.35,7.62,0.64
Rua do Sol,145,1,1.7,3.81,0.89
Rua das Flores,40,109,4.74,17.55,0.12
Rua da Aurora,87,29,3.95,18.93,0.72
Rua dos Cedros,17,77,2.18,23.57,0.14
Rua dos Lirios,86,151,2.15,18.64,0.72
Rua da Lua,40,129,1.1,29.93,0.51
Rua das Oliveiras,19,43,1.24,23.27,0.35
Rua dos Girassois,74,72,4.22,6.65,0.27
Rua dos Passaros,118,153,4.66,14.44,0.74
Rua dos Girassois,108,82,3.95,8.13,0.95
Rua das Aguas,18,87,4.93,20.23,0.95
Rua dos Pinheiros,104,19,4.04,18.29,0.65
Rua da Colina,119,29,1.83,19.11,0.28
Rua da Lua,107,55,3.62,25.57,0.31
Rua do Sol,84,62,2.63,10.75,0.33
Rua das Acacias,136,63,1.7,25.55,0.28
Rua dos Pinheiros,10,83,2.71,14.21,0.84
Rua dos Jacarandas,89,24,1.83,28.18,0.34
Rua das Violetas,27,50,1.99,21.61,0.61
Rua das Acacias,71,128,1.67,10.57,0.17
Rua das Laranjeiras,0,131,2.13,29.9,0.64
Rua do Sol,8,141,2.4,27.95,0.6
Rua dos Jacarandas,94,140,2.42,3.9,0.49
Rua dos Jacarandas,76,41,3.43,6.44,0.21
Rua da Cascata,144,21,0.61,29.21,0.46
Rua das Aguas,150,124,1.33,25.74,0.86
Rua das Margaridas,61,148,3.56,20.25,0.23
Rua das Violetas,95,61,3.32,6.37,0.8
Rua das Laranjeiras,75,107,2.31,16.56,0.51
Rua da Lua,52,98,1.43,18.82,0.95
Rua do Sol,69,74,4.15,19.05,0.94
Rua dos Jacarandas,133,72,2.08,17.02,0.48
Rua das Laranjeiras,151,21,1.65,29.47,0.23
Rua das Orquideas,90,34,1.54,20.19,0.27
Rua dos Ipes,7,105,1.34,11.79,0.89
Rua das Laranjeiras,21,153,1.14,2.39,0.37
Rua das Acacias,107,44,2.05,20.7,0.25
Rua das Orquideas,149,67,4.47,18.1,0.8
Rua da Aurora,74,126,1.97,13.95,0.92
Rua da Aurora,107,99,3.64,18.97,0.57
Rua dos Lirios,108,15,2.75,6.51,0.53
Rua das Laranjeiras,55,20,3.67,9.01,0.78
Rua dos Jacarandas,117,32,3.55,9.01,0.17
Rua das Aguas,117,6,3.17,13.29,0.42
Rua dos Jacarandas,118,68,3.85,24.67,0.46
Rua das Nuvens,65,103,0.71,19.89,0.87
Rua do Sol,96,113,3.72,11.5,0.31
Rua das Violetas,118,81,2.51,25.25,0.26
Rua da Montanha,87,98,4.11,12.74,0.8
Rua das Flores,28,95,0.98,29.78,0.29
Rua das Oliveiras,137,44,0.74,8.9,0.75
Rua do Sol,71,45,3.46,20.4,0.31
Rua dos Cedros,156,60,2.39,24.68,0.33
Rua dos Girassois,72,15,2.05,21.6,0.34
Rua das Oliveiras,156,20,1.19,2.57,0.86
Rua das Rosas,123,55,4.52,25.35,0.93
Rua da Montanha,2,51,0.67,17.13,0.68
Rua das Oliveiras,74,137,2.72,13.8,0.9
Rua das Flores,155,52,4.16,6.24,0.53
Rua dos Pinheiros,73,36,2.83,12.12,0.95
Rua das Flores,96,103,3.34,10.17,0.98
Rua das Aguas,37,153,2.41,2.14,0.86
Rua dos Girassois,135,142,3.88,14.45,0.27
Rua da Colina,150,34,0.74,15.42,0.86
Rua das Flores,119,68,3.61,15.03,0.85
Rua do Campo,15,136,3.49,15.13,0.31
Rua dos Pinheiros,2,136,2.19,13.6,0.6
Rua das Flores,9,128,1.9,2.69,0.82
Rua dos Jacarandas,97,74,1.26,27.09,0.58
Rua das Laranjeiras,2,4,4.94,11.51,0.45
Rua da Montanha,75,79,4.25,26.02,0.51
Rua das Palmeiras,70,96,2.97,15.37,0.43
Rua do Campo,130,123,1.65,28.77,0.91
Rua dos Cedros,4,97,3.41,3.28,0.32
Rua das Oliveiras,153,143,1.45,6.32,0.83
Rua das Laranjeiras,125,88,4.9,16.66,0.6
Rua do Campo,19,42,0.58,6.9,0.13
Rua das Laranjeiras,117,30,3.04,18.66,0.15
Rua das Flores,57,38,0.96,27.49,0.19
Rua dos Cedros,119,7,4.67,1.28,0.26
Rua das Oliveiras,0,110,1.04,10.86,0.59
Rua dos Girassois,138,8,0.83,4.65,0.23
Rua dos Cravos,141,153,1.33,20.02,0.63
Rua do Sol,29,82,4.08,19.24,0.37
Rua do Campo,130,98,1.88,11.08,0.86
Rua das Nuvens,6,72,3.27,24.84,0.66
Rua das Violetas,58,79,0.74,2.78,0.93
Rua das Laranjeiras,8,129,4.32,16.84,0.27
Rua das Oliveiras,28,136,4.71,18.94,0.26
Rua das Margaridas,118,153,1.92,16.32,0.44
Rua do Sol,84,13,4.55,20.7,0.49
Rua dos Cedros,15,112,1.13,29.1,0.13
Rua do Campo,115,130,3.76,9.67,0.25
Rua do Campo,148,127,3.64,26.39,0.13
Rua da Montanha,103,85,1.46,17.51,0.9
Rua das Flores,104,153,2.12,3.04,0.17
Rua dos Jacarandas,0,16,3.89,13.37,0.38
Rua das Acacias,5,126,4.77,27.49,0.88
Rua das Palmeiras,123,5,1.56,26.23,0.56
Rua das Aguas,8,93,1.92,7.74,0.24
Rua dos Pinheiros,0,6,2.91,1.05,0.43
Rua das Flores,6,24,3.07,17.79,0.66
Rua do Sol,0,56,4.38,8.26,0.41
Rua das Rosas,102,136,3.9,23.52,0.14
Rua dos Cravos,127,131,3.47,29.32,0.36
Rua das Margaridas,61,1,3.02,13.34,0.11
Rua da Colina,42,137,2.84,17.53,0.88
Rua dos Girassois,14,70,2.66,4.08,0.65
Rua da Aurora,64,25,0.87,17.6,0.86
Rua das Rosas,9,57,1.47,1.26,0.29
Rua dos Girassois,28,7,2.51,19.9,0.71
Rua das Rosas,128,11,4.67,13.59,0.47
Rua dos Ipes,88,28,2.26,15.48,0.44
Rua das Laranjeiras,136,153,4.24,1.68,0.47
Rua dos Lirios,127,10,4.08,6.98,0.33
Rua das Margaridas,91,90,2.65,20.95,0.36
Rua dos Lirios,118,127,1.3,12.1,0.41
Rua do Sol,45,68,2.89,26.31,0.44
Rua das Flores,131,73,4.16,5.97,0.42
Rua dos Cravos,149,5,0.67,8.17,0.37
Rua da Aurora,0,128,3.8,9.92,0.38
Rua das Orquideas,127,17,3.78,13.49,0.41
Rua da Cascata,38,56,3.09,4.54,0.89
Rua dos Passaros,51,9,4.53,21.7,0.52
Rua das Palmeiras,111,149,1.23,13.49,0.7
Rua do Sol,8,76,4.77,29.95,0.82
Rua da Lua,89,11,0.83,4.74,0.14
Rua da Montanha,145,84,4.06,21.88,0.4
Rua da Cascata,123,64,0.82,1.84,0.84
Rua das Laranjeiras,153,25,4.89,7.99,0.49
Rua das Laranjeiras,91,153,1.58,5.5,0.66
Rua das Flores,69,147,4.42,4.39,0.18
Rua da Montanha,64,88,4.94,24.1,0.26
Rua das Flores,107,119,0.76,25.85,0.36
Rua das Palmeiras,128,85,2.36,14.62,0.49
Rua dos Pinheiros,114,137,3.13,27.52,0.37
Rua da Aurora,117,17,3.85,18.63,0.36
Rua dos Girassois,15,150,0.95,2.04,0.82
Rua das Aguas,57,10,2.98,9.27,0.56
Rua do Campo,46,101,2.48,1.65,0.55
Rua dos Cravos,61,16,2.74,16.53,0.43
Rua das Aguas,71,85,4.5,2.29,0.71
Rua das Aguas,105,49,4.49,18.66,0.12
Rua das Acacias,106,73,4.53,26.9,0.24
Rua das Acacias,126,30,0.67,22.09,0.55
Rua dos Cedros,133,57,1.43,6.35,0.52
Rua das Oliveiras,53,47,3.76,6.19,0.33
Rua das Acacias,152,117,1.59,23.41,0.3
Rua dos Pinheiros,150,86,2.19,21.73,0.71
Rua da Montanha,8,111,4.61,16.54,0.72
Rua dos Girassois,32,99,2.16,7.34,0.58
Rua dos Passaros,144,30,1.6,28.17,0.13
Rua da Colina,4,56,3.19,18.04,0.27
Rua das Orquideas,129,81,2.56,9.09,0.44
Rua dos Ipes,115,18,3.36,10.62,0.66
Rua da Colina,151,63,1.48,24.38,0.31
Rua dos Lirios,30,140,2.97,25.14,0.96
Rua dos Passaros,125,59,2.48,12.38,0.29
Rua dos Passaros,64,136,2.6,27.04,0.28
Rua dos Lirios,52,104,1.82,19.47,0.44
Rua dos Jacarandas,81,59,2.13,9.5,0.34
Rua das Palmeiras,98,116,3.9,8.66,0.82
Rua das Acacias,80,134,2.22,9.99,0.75
Rua das Acacias,19,39,3.35,10.46,0.68
Rua das Palmeiras,141,101,1.75,19.52,0.24
Rua das Palmeiras,123,126,1.12,10.61,0.29
Rua das Oliveiras,98,54,3.85,17.61,0.99
Rua das Rosas,79,69,2.16,22.56,0.91
Rua da Lua,69,128,4.64,4.84,0.83
Rua dos Cedros,68,147,4.98,8.02,0.6
Rua dos Cedros,145,34,0.55,5.24,0.11
Rua das Oliveiras,142,150,3.4,10.24,0.66
Rua dos Cravos,84,8,1.45,10.62,0.58
Rua das Acacias,18,156,0.93,4.51,0.78
Rua das Orquideas,104,107,2.31,12.33,0.16
Rua dos Lirios,115,41,3.29,16.72,0.92
Rua dos Cravos,54,56,2.43,16.48,0.99
Rua dos Cedros,79,43,1.29,6.89,0.39
Rua das Aguas,136,91,4.65,3.51,0.52
Rua dos Passaros,131,83,1.63,15.36,0.51
Rua dos Cravos,53,29,0.79,16.95,0.56
Rua dos Pinheiros,52,19,2.96,16.39,0.12
Rua das Oliveiras,33,32,4.47,26.76,0.21
Rua dos Pinheiros,83,74,1.78,28.29,0.64
Rua da Colina,44,55,4.65,12.71,0.95
Rua das Oliveiras,52,76,3.48,28.66,0.62
Rua da Colina,9,21,2.83,3.17,0.4
Rua das Laranjeiras,13,101,2.94,11.48,0.83
Rua das Rosas,123,104,4.53,12.29,0.21
Rua dos Cravos,16,38,2.72,5.09,0.29
Rua das Flores,69,123,2.77,22.63,0.43
Rua das Nuvens,102,154,3.51,1.49,0.47
Rua das Aguas,112,104,2.78,21.7,0.24
Rua dos Girassois,147,149,0.52,8.29,0.94
Rua da Montanha,52,113,1.98,20.58,0.7
Rua dos Cedros,112,76,2.99,27.89,0.81
Rua dos Cravos,5,95,1.85,10.19,0.28
Rua dos Pinheiros,61,117,3.84,4.92,0.78
Rua das Oliveiras,2,139,2.14,7.68,0.46
Rua das Palmeiras,72,95,1.91,28.15,0.98
Rua das Palmeiras,110,114,3.22,9.57,0.63
Rua dos Passaros,78,23,2.52,28.82,0.14
Rua das Flores,104,52,0.75,25.74,0.29
Rua da Aurora,129,31,4.07,26.13,0.82
Rua dos Cedros,50,13,1.86,20.29,0.6
Rua das Aguas,31,121,3.79,23.57,0.34
Rua das Aguas,8,53,0.89,1.48,0.59
Rua da Colina,85,139,4.93,14.64,0.29
Rua das Orquideas,20,121,0.55,10.61,0.66
Rua das Oliveiras,20,3,3.39,8.92,0.24
Rua da Aurora,18,32,3.54,23.71,0.11
Rua das Palmeiras,117,119,1.81,4.89,0.59
Rua das Acacias,2,68,0.67,19.36,0.49
Rua das Palmeiras,129,18,1.5,29.88,0.49
Rua da Montanha,7,100,1.75,5.95,0.94
Rua dos Ipes,138,49,4.17,11.27,0.19
Rua dos Girassois,85,100,2.16,8.73,0.28
Rua da Cascata,98,57,2.5,24.34,0.21
Rua das Laranjeiras,122,16,0.62,20.2,0.38
Rua das Oliveiras,88,130,2.67,17.53,0.59
Rua dos Girassois,29,91,1.47,22.43,0.97
Rua das Acacias,55,92,0.84,17.8,0.21
Rua da Cascata,58,18,4.52,8.76,0.17
Rua dos Ipes,154,137,1.75,16.46,0.92
Rua dos Passaros,1,153,4.53,23.92,0.45
Rua das Margaridas,76,97,3.18,10.49,0.2
Rua das Rosas,2,44,2.36,26.48,0.87
Rua do Campo,44,51,2.6,8.72,0.89
Rua da Aurora,83,27,1.57,20.59,0.26
Rua dos Girassois,17,23,4.76,22.9,0.79
Rua das Acacias,137,79,0.51,26.45,0.96
Rua das Acacias,55,69,0.72,19.96,1.0
Rua das Orquideas,84,19,4.82,22.47,0.53
Rua dos Cravos,149,99,1.55,29.75,0.95
Rua dos Passaros,96,46,0.51,14.35,0.74
Rua da Lua,79,144,4.66,22.04,0.56
Rua das Flores,49,29,4.24,4.63,0.58
Rua das Violetas,79,80,3.0,18.65,0.47
Rua das Margaridas,15,38,2.13,11.21,0.66
Rua dos Cravos,30,157,3.97,11.15,0.91
Rua das Rosas,93,28,4.25,19.65,0.63
Rua das Palmeiras,134,56,3.01,27.32,0.74
Rua das Acacias,62,157,1.84,22.57,0.94
Rua da Montanha,31,5,3.44,27.37,0.45
Rua dos Cedros,115,9,2.98,1.06,0.39
